[编写日期]
2020/09/07 19:23:28

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,-168.530273,-17.585449,-171.826172,0.000000,1.000000,0.000000
2.00000,-168.530273,-18.034058,-171.826172,0.000000,1.000000,0.000000
4.00000,-168.750000,-17.869568,-172.045898,0.000000,1.000000,0.000000
6.00000,-168.750000,-17.166748,-172.045898,0.000000,1.000000,0.000000
8.00000,-168.969727,-16.942444,-172.045898,0.000000,1.000000,0.000000
10.00000,-168.969727,-16.015320,-171.826172,0.000000,1.000000,0.000000
12.00000,-169.189453,-15.297546,-171.826172,0.000000,1.000000,0.000000
14.00000,-169.189453,-14.415283,-171.826172,0.000000,1.000000,0.000000
16.00000,-169.409180,-13.577881,-171.606445,0.000000,1.000000,0.000000
18.00000,-169.189453,-13.129272,-171.606445,0.000000,1.000000,0.000000
20.00000,-169.189453,-13.488159,-171.606445,0.000000,1.000000,0.000000
22.00000,-168.750000,-14.923706,-171.606445,0.000000,1.000000,0.000000
24.00000,-168.750000,-15.731201,-171.606445,0.000000,1.000000,0.000000
26.00000,-168.750000,-15.491943,-171.606445,0.000000,1.000000,0.000000
28.00000,-168.969727,-14.430237,-171.606445,0.000000,1.000000,0.000000
30.00000,-168.969727,-14.086304,-171.606445,0.000000,1.000000,0.000000
32.00000,-168.969727,-13.966675,-171.606445,0.000000,1.000000,0.000000
34.00000,-168.969727,-14.071350,-171.386719,0.000000,1.000000,0.000000
36.00000,-168.969727,-13.652649,-171.386719,0.000000,1.000000,0.000000
38.00000,-168.969727,-13.697510,-171.386719,0.000000,1.000000,0.000000
40.00000,-168.969727,-13.547974,-171.386719,0.000000,1.000000,0.000000
42.00000,-168.969727,-13.592834,-171.386719,0.000000,1.000000,0.000000
44.00000,-168.750000,-13.862000,-171.386719,0.000000,1.000000,0.000000
46.00000,-168.969727,-13.981628,-171.386719,0.000000,1.000000,0.000000
48.00000,-168.969727,-13.533020,-171.386719,0.000000,1.000000,0.000000
50.00000,-168.969727,-13.682556,-171.386719,0.000000,1.000000,0.000000
52.00000,-168.750000,-13.802185,-171.386719,0.000000,1.000000,0.000000
54.00000,-168.750000,-14.116211,-171.386719,0.000000,1.000000,0.000000
56.00000,-168.530273,-15.282593,-171.386719,0.000000,1.000000,0.000000
58.00000,-168.530273,-15.656433,-171.606445,0.000000,1.000000,0.000000
60.00000,-168.530273,-16.075134,-171.606445,0.000000,1.000000,0.000000
62.00000,-168.750000,-16.224670,-171.606445,0.000000,1.000000,0.000000
64.00000,-168.750000,-15.850830,-171.606445,0.000000,1.000000,0.000000
66.00000,-168.969727,-14.848938,-171.606445,0.000000,1.000000,0.000000
68.00000,-169.189453,-13.891907,-171.606445,0.000000,1.000000,0.000000
70.00000,-169.189453,-13.428345,-171.606445,0.000000,1.000000,0.000000
72.00000,-168.969727,-13.652649,-171.386719,0.000000,1.000000,0.000000
74.00000,-168.969727,-14.086304,-171.386719,0.000000,1.000000,0.000000
76.00000,-168.750000,-14.609680,-171.386719,0.000000,1.000000,0.000000
78.00000,-168.750000,-14.789124,-171.606445,0.000000,1.000000,0.000000
80.00000,-168.750000,-14.684448,-171.606445,0.000000,1.000000,0.000000
82.00000,-168.750000,-14.639587,-171.606445,0.000000,1.000000,0.000000
84.00000,-168.750000,-14.579773,-171.606445,0.000000,1.000000,0.000000
86.00000,-168.750000,-14.624634,-171.606445,0.000000,1.000000,0.000000
88.00000,-168.969727,-14.415283,-171.606445,0.000000,1.000000,0.000000
90.00000,-168.750000,-15.282593,-171.606445,0.000000,1.000000,0.000000
92.00000,-168.530273,-16.179810,-171.606445,0.000000,1.000000,0.000000
94.00000,-168.530273,-17.151794,-171.606445,0.000000,1.000000,0.000000
96.00000,-168.530273,-17.540588,-171.826172,0.000000,1.000000,0.000000
98.00000,-168.530273,-17.540588,-171.826172,0.000000,1.000000,0.000000
100.00000,-168.750000,-17.271423,-171.826172,0.000000,1.000000,0.000000
102.00000,-168.750000,-16.912537,-171.826172,0.000000,1.000000,0.000000
104.00000,-168.969727,-16.852722,-171.826172,0.000000,1.000000,0.000000
106.00000,-168.530273,-17.645264,-172.045898,0.000000,1.000000,0.000000
108.00000,-168.530273,-18.826599,-172.045898,0.000000,1.000000,0.000000
110.00000,-168.310547,-20.142517,-172.265625,0.000000,1.000000,0.000000
112.00000,-168.310547,-21.458435,-172.265625,0.000000,1.000000,0.000000
114.00000,-168.310547,-21.593018,-172.485352,0.000000,1.000000,0.000000
116.00000,-168.750000,-20.292053,-172.485352,0.000000,1.000000,0.000000
118.00000,-169.189453,-18.363037,-172.485352,0.000000,1.000000,0.000000
120.00000,-169.409180,-16.568604,-172.265625,0.000000,1.000000,0.000000
