[编写日期]
2020/09/07 19:26:15

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,-0.219727,-9.764709,-1.977539,0.000000,1.000000,0.000000
4.00000,0.000000,-9.854431,-1.977539,0.000000,1.000000,0.000000
8.00000,-0.219727,-9.779663,-1.977539,0.000000,1.000000,0.000000
12.00000,0.000000,-9.779663,-1.977539,0.000000,1.000000,0.000000
16.00000,-0.219727,-9.809570,-1.977539,0.000000,1.000000,0.000000
20.00000,0.000000,-9.764709,-1.977539,0.000000,1.000000,0.000000
24.00000,0.000000,-9.779663,-1.977539,0.000000,1.000000,0.000000
28.00000,0.000000,-9.884338,-1.977539,0.000000,1.000000,0.000000
32.00000,-0.219727,-9.734802,-1.977539,0.000000,1.000000,0.000000
36.00000,0.000000,-9.854431,-1.977539,0.000000,1.000000,0.000000
40.00000,-0.219727,-9.764709,-1.977539,0.000000,1.000000,0.000000
44.00000,0.000000,-9.884338,-1.977539,0.000000,1.000000,0.000000
48.00000,-0.219727,-9.779663,-1.977539,0.000000,1.000000,0.000000
52.00000,0.000000,-9.824524,-1.977539,0.000000,1.000000,0.000000
56.00000,-0.219727,-9.794617,-1.977539,0.000000,1.000000,0.000000
60.00000,-0.219727,-9.734802,-1.977539,0.000000,1.000000,0.000000
64.00000,0.000000,-9.839478,-1.977539,0.000000,1.000000,0.000000
68.00000,-0.219727,-9.734802,-1.977539,0.000000,1.000000,0.000000
72.00000,0.000000,-9.839478,-1.977539,0.000000,1.000000,0.000000
76.00000,-0.219727,-9.869385,-1.977539,0.000000,1.000000,0.000000
80.00000,0.000000,-9.794617,-1.977539,0.000000,1.000000,0.000000
84.00000,0.000000,-9.884338,-1.977539,0.000000,1.000000,0.000000
88.00000,-0.219727,-9.839478,-1.977539,0.000000,1.000000,0.000000
92.00000,-0.219727,-9.794617,-1.977539,0.000000,1.000000,0.000000
96.00000,0.000000,-9.884338,-1.977539,0.000000,1.000000,0.000000
100.00000,-0.219727,-9.704895,-1.977539,0.000000,1.000000,0.000000
104.00000,0.000000,-9.854431,-1.977539,0.000000,1.000000,0.000000
108.00000,-0.219727,-9.794617,-1.977539,0.000000,1.000000,0.000000
112.00000,-0.219727,-9.764709,-1.977539,0.000000,1.000000,0.000000
116.00000,0.000000,-9.854431,-1.977539,0.000000,1.000000,0.000000
120.00000,0.000000,-9.794617,-1.977539,0.000000,1.000000,0.000000
124.00000,-0.219727,-9.854431,-1.977539,0.000000,1.000000,0.000000
128.00000,0.000000,-9.809570,-1.977539,0.000000,1.000000,0.000000
132.00000,0.000000,-9.824524,-1.977539,0.000000,1.000000,0.000000
136.00000,-0.219727,-9.809570,-1.977539,0.000000,1.000000,0.000000
140.00000,0.000000,-9.854431,-1.977539,0.000000,1.000000,0.000000
144.00000,-0.219727,-9.839478,-1.977539,0.000000,1.000000,0.000000
148.00000,0.000000,-9.794617,-1.977539,0.000000,1.000000,0.000000
152.00000,0.000000,-9.839478,-1.977539,0.000000,1.000000,0.000000
156.00000,-0.219727,-9.779663,-1.977539,0.000000,1.000000,0.000000
160.00000,0.000000,-9.719849,-1.977539,0.000000,1.000000,0.000000
164.00000,0.000000,-9.899292,-1.977539,0.000000,1.000000,0.000000
168.00000,-0.219727,-9.779663,-1.977539,0.000000,1.000000,0.000000
172.00000,0.000000,-9.824524,-1.977539,0.000000,1.000000,0.000000
176.00000,0.000000,-9.884338,-1.977539,0.000000,1.000000,0.000000
180.00000,-0.219727,-9.764709,-1.977539,0.000000,1.000000,0.000000
184.00000,0.000000,-9.944153,-1.977539,0.000000,1.000000,0.000000
188.00000,-0.219727,-9.794617,-1.977539,0.000000,1.000000,0.000000
192.00000,0.000000,-9.809570,-1.977539,0.000000,1.000000,0.000000
196.00000,-0.219727,-9.854431,-1.977539,0.000000,1.000000,0.000000
200.00000,-0.219727,-9.779663,-1.977539,0.000000,1.000000,0.000000
204.00000,0.000000,-9.824524,-1.977539,0.000000,1.000000,0.000000
208.00000,0.000000,-9.839478,-1.977539,0.000000,1.000000,0.000000
212.00000,-0.219727,-9.764709,-1.977539,0.000000,1.000000,0.000000
216.00000,0.000000,-9.929199,-1.977539,0.000000,1.000000,0.000000
220.00000,-0.219727,-9.824524,-1.977539,0.000000,1.000000,0.000000
224.00000,0.000000,-9.839478,-1.977539,0.000000,1.000000,0.000000
228.00000,0.000000,-9.869385,-1.977539,0.000000,1.000000,0.000000
232.00000,-0.219727,-9.869385,-1.977539,0.000000,1.000000,0.000000
236.00000,-0.219727,-9.839478,-1.977539,0.000000,1.000000,0.000000
240.00000,0.000000,-9.809570,-1.977539,0.000000,1.000000,0.000000
244.00000,-0.219727,-9.929199,-1.977539,0.000000,1.000000,0.000000
