[编写日期]
2020/09/07 19:26:40

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,-0.219727,10.946045,1.977539,0.000000,1.000000,0.000000
4.00000,-0.219727,10.975952,1.977539,0.000000,1.000000,0.000000
8.00000,0.000000,10.751648,1.757813,0.000000,1.000000,0.000000
12.00000,-0.219727,10.826416,1.757813,0.000000,1.000000,0.000000
16.00000,-0.219727,10.527344,1.757813,0.000000,1.000000,0.000000
20.00000,-0.219727,9.989014,1.538086,0.000000,1.000000,0.000000
24.00000,-0.219727,9.510498,1.538086,0.000000,1.000000,0.000000
28.00000,-0.219727,8.194580,1.098633,0.000000,1.000000,0.000000
32.00000,-0.439453,6.729126,0.659180,0.000000,1.000000,0.000000
36.00000,-0.439453,4.291687,0.000000,0.000000,1.000000,0.000000
40.00000,-0.659180,1.465454,-0.878906,0.000000,1.000000,0.000000
44.00000,-1.098633,-1.614990,-1.977539,0.000000,1.000000,0.000000
48.00000,-1.538086,-5.876770,-3.076172,0.000000,1.000000,0.000000
52.00000,-2.197266,-9.974060,-4.614258,0.000000,1.000000,0.000000
56.00000,-3.076172,-13.966675,-6.372070,0.000000,1.000000,0.000000
60.00000,-4.174805,-17.166748,-8.129883,0.000000,1.000000,0.000000
64.00000,-5.712891,-18.512573,-9.887695,0.000000,1.000000,0.000000
68.00000,-7.470703,-19.170532,-11.865234,0.000000,1.000000,0.000000
72.00000,-9.228516,-19.978027,-13.623047,0.000000,1.000000,0.000000
76.00000,-10.986328,-20.262146,-15.600586,0.000000,1.000000,0.000000
80.00000,-12.963867,-21.099548,-17.578125,0.000000,1.000000,0.000000
84.00000,-14.941406,-21.877136,-19.775391,0.000000,1.000000,0.000000
88.00000,-17.358398,-21.054688,-22.192383,0.000000,1.000000,0.000000
92.00000,-19.775391,-20.650940,-24.389648,0.000000,1.000000,0.000000
96.00000,-22.192383,-20.262146,-27.026367,0.000000,1.000000,0.000000
100.00000,-24.829102,-20.157471,-29.663086,0.000000,1.000000,0.000000
104.00000,-27.465820,-20.606079,-32.299805,0.000000,1.000000,0.000000
108.00000,-30.322266,-20.905151,-35.375977,0.000000,1.000000,0.000000
112.00000,-33.178711,-21.578064,-38.452148,0.000000,1.000000,0.000000
116.00000,-36.474609,-21.099548,-41.748047,0.000000,1.000000,0.000000
120.00000,-39.990234,-21.054688,-45.263672,0.000000,1.000000,0.000000
124.00000,-43.286133,-21.189270,-48.779297,0.000000,1.000000,0.000000
128.00000,-47.021484,-20.321960,-52.294922,0.000000,1.000000,0.000000
132.00000,-50.756836,-20.336914,-56.030273,0.000000,1.000000,0.000000
136.00000,-54.492188,-20.112610,-59.765625,0.000000,1.000000,0.000000
140.00000,-58.007813,-20.905151,-63.500977,0.000000,1.000000,0.000000
144.00000,-61.962891,-20.606079,-67.236328,0.000000,1.000000,0.000000
148.00000,-65.698242,-20.635986,-70.971680,0.000000,1.000000,0.000000
152.00000,-69.433594,-20.606079,-74.707031,0.000000,1.000000,0.000000
156.00000,-73.168945,-20.067749,-78.222656,0.000000,1.000000,0.000000
160.00000,-76.684570,-19.798584,-81.738281,0.000000,1.000000,0.000000
164.00000,-79.980469,-20.172424,-85.253906,0.000000,1.000000,0.000000
168.00000,-83.276367,-19.963074,-88.330078,0.000000,1.000000,0.000000
172.00000,-86.572266,-20.127563,-91.406250,0.000000,1.000000,0.000000
176.00000,-89.428711,-20.067749,-94.482422,0.000000,1.000000,0.000000
180.00000,-92.285156,-20.680847,-97.338867,0.000000,1.000000,0.000000
184.00000,-95.361328,-19.215393,-99.975586,0.000000,1.000000,0.000000
188.00000,-97.998047,-17.226563,-102.172852,0.000000,1.000000,0.000000
192.00000,-100.415039,-16.389160,-104.370117,0.000000,1.000000,0.000000
196.00000,-102.832031,-15.716248,-106.567383,0.000000,1.000000,0.000000
200.00000,-104.589844,-16.897583,-108.544922,0.000000,1.000000,0.000000
204.00000,-106.567383,-16.987305,-110.302734,0.000000,1.000000,0.000000
208.00000,-108.325195,-16.598511,-112.060547,0.000000,1.000000,0.000000
212.00000,-110.083008,-16.269531,-113.598633,0.000000,1.000000,0.000000
216.00000,-111.621094,-16.404114,-115.136719,0.000000,1.000000,0.000000
220.00000,-112.939453,-15.118103,-116.235352,0.000000,1.000000,0.000000
224.00000,-114.257813,-15.013428,-117.333984,0.000000,1.000000,0.000000
228.00000,-115.356445,-13.353577,-118.212891,0.000000,1.000000,0.000000
232.00000,-116.235352,-13.832092,-119.091797,0.000000,1.000000,0.000000
236.00000,-116.894531,-14.250793,-119.750977,0.000000,1.000000,0.000000
240.00000,-117.553711,-13.667603,-120.410156,0.000000,1.000000,0.000000
