[编写日期]
2020/09/07 19:38:44

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,119.091797,21.368713,123.046875,0.000000,1.000000,0.000000
4.00000,119.311523,20.471497,123.046875,0.000000,1.000000,0.000000
8.00000,119.091797,21.024780,123.046875,0.000000,1.000000,0.000000
12.00000,119.091797,21.488342,123.046875,0.000000,1.000000,0.000000
16.00000,119.091797,22.191162,123.046875,0.000000,1.000000,0.000000
20.00000,119.311523,21.114502,123.046875,0.000000,1.000000,0.000000
24.00000,119.091797,22.176208,123.266602,0.000000,1.000000,0.000000
28.00000,119.091797,22.460327,123.266602,0.000000,1.000000,0.000000
32.00000,119.091797,23.193054,123.266602,0.000000,1.000000,0.000000
36.00000,119.091797,23.432312,123.486328,0.000000,1.000000,0.000000
40.00000,119.311523,21.892090,123.266602,0.000000,1.000000,0.000000
44.00000,119.311523,21.832275,123.266602,0.000000,1.000000,0.000000
48.00000,119.531250,20.860291,123.266602,0.000000,1.000000,0.000000
52.00000,119.531250,19.544373,123.046875,0.000000,1.000000,0.000000
56.00000,119.311523,20.665894,123.046875,0.000000,1.000000,0.000000
60.00000,119.311523,20.112610,123.046875,0.000000,1.000000,0.000000
64.00000,119.311523,19.843445,123.046875,0.000000,1.000000,0.000000
68.00000,118.872070,22.520142,123.046875,0.000000,1.000000,0.000000
72.00000,119.091797,22.744446,123.266602,0.000000,1.000000,0.000000
76.00000,118.872070,24.209900,123.266602,0.000000,1.000000,0.000000
80.00000,118.872070,25.540771,123.486328,0.000000,1.000000,0.000000
84.00000,119.091797,25.406189,123.706055,0.000000,1.000000,0.000000
88.00000,119.091797,24.718323,123.706055,0.000000,1.000000,0.000000
92.00000,119.091797,25.122070,123.706055,0.000000,1.000000,0.000000
96.00000,119.311523,23.851013,123.706055,0.000000,1.000000,0.000000
100.00000,119.311523,23.596802,123.706055,0.000000,1.000000,0.000000
104.00000,119.531250,22.445374,123.486328,0.000000,1.000000,0.000000
108.00000,119.311523,22.550049,123.486328,0.000000,1.000000,0.000000
112.00000,119.311523,22.774353,123.486328,0.000000,1.000000,0.000000
116.00000,119.091797,23.806152,123.486328,0.000000,1.000000,0.000000
120.00000,119.091797,24.613647,123.486328,0.000000,1.000000,0.000000
124.00000,118.872070,25.809937,123.706055,0.000000,1.000000,0.000000
128.00000,119.091797,25.929565,123.706055,0.000000,1.000000,0.000000
132.00000,119.091797,25.645447,123.925781,0.000000,1.000000,0.000000
136.00000,119.091797,25.884705,123.925781,0.000000,1.000000,0.000000
140.00000,119.311523,24.912720,123.925781,0.000000,1.000000,0.000000
144.00000,119.311523,24.972534,123.925781,0.000000,1.000000,0.000000
148.00000,119.091797,25.854797,123.925781,0.000000,1.000000,0.000000
152.00000,119.311523,24.449158,123.706055,0.000000,1.000000,0.000000
156.00000,119.311523,24.912720,123.706055,0.000000,1.000000,0.000000
160.00000,119.311523,25.196838,123.706055,0.000000,1.000000,0.000000
164.00000,119.311523,24.359436,123.706055,0.000000,1.000000,0.000000
168.00000,119.091797,25.959473,123.925781,0.000000,1.000000,0.000000
172.00000,119.311523,24.643555,123.706055,0.000000,1.000000,0.000000
176.00000,119.311523,24.344482,123.706055,0.000000,1.000000,0.000000
180.00000,119.311523,24.837952,123.706055,0.000000,1.000000,0.000000
184.00000,119.311523,24.329529,123.706055,0.000000,1.000000,0.000000
188.00000,119.311523,24.105225,123.706055,0.000000,1.000000,0.000000
192.00000,119.091797,24.942627,123.706055,0.000000,1.000000,0.000000
196.00000,119.311523,23.985596,123.706055,0.000000,1.000000,0.000000
200.00000,119.091797,24.449158,123.706055,0.000000,1.000000,0.000000
204.00000,119.091797,25.166931,123.706055,0.000000,1.000000,0.000000
208.00000,119.311523,24.359436,123.706055,0.000000,1.000000,0.000000
212.00000,119.311523,23.402405,123.706055,0.000000,1.000000,0.000000
216.00000,119.311523,24.015503,123.706055,0.000000,1.000000,0.000000
220.00000,119.311523,23.701477,123.486328,0.000000,1.000000,0.000000
224.00000,119.091797,24.673462,123.706055,0.000000,1.000000,0.000000
228.00000,119.311523,24.135132,123.706055,0.000000,1.000000,0.000000
232.00000,119.311523,23.252869,123.486328,0.000000,1.000000,0.000000
236.00000,119.091797,25.361328,123.706055,0.000000,1.000000,0.000000
240.00000,119.311523,24.344482,123.706055,0.000000,1.000000,0.000000
244.00000,119.091797,24.912720,123.706055,0.000000,1.000000,0.000000
248.00000,119.311523,24.688416,123.706055,0.000000,1.000000,0.000000
252.00000,119.531250,23.148193,123.706055,0.000000,1.000000,0.000000
256.00000,119.311523,23.701477,123.706055,0.000000,1.000000,0.000000
260.00000,119.091797,25.765076,123.706055,0.000000,1.000000,0.000000
