[编写日期]
2020/09/07 19:39:49

[伺服单元类型]
SGD7S-7R6A10B202

[电机型号]
SGM7G-09A7C61

[波形跟踪数据文件]
<No File>

[波形跟踪数据]
,TRACE1,TRACE2,TRACE3,I/O1,I/O2,I/O3
时间,反馈速度,转矩指令,指令速度,/S-ON,/P-CON,Unsetting
[ms],[min-1],[%],[min-1],-,-,-
0.00000,0.000000,23.372498,4.174805,0.000000,1.000000,0.000000
4.00000,0.000000,23.342590,4.174805,0.000000,1.000000,0.000000
8.00000,0.000000,23.342590,4.174805,0.000000,1.000000,0.000000
12.00000,0.000000,23.372498,4.174805,0.000000,1.000000,0.000000
16.00000,0.000000,23.327637,4.174805,0.000000,1.000000,0.000000
20.00000,0.000000,23.372498,4.174805,0.000000,1.000000,0.000000
24.00000,0.000000,23.312683,4.174805,0.000000,1.000000,0.000000
28.00000,-0.219727,23.417358,4.174805,0.000000,1.000000,0.000000
32.00000,0.000000,23.312683,4.174805,0.000000,1.000000,0.000000
36.00000,-0.219727,23.432312,4.174805,0.000000,1.000000,0.000000
40.00000,0.000000,23.387451,4.174805,0.000000,1.000000,0.000000
44.00000,0.000000,23.402405,4.174805,0.000000,1.000000,0.000000
48.00000,0.000000,23.327637,4.174805,0.000000,1.000000,0.000000
52.00000,0.000000,23.342590,4.174805,0.000000,1.000000,0.000000
56.00000,0.000000,23.402405,4.174805,0.000000,1.000000,0.000000
60.00000,0.000000,23.372498,4.174805,0.000000,1.000000,0.000000
64.00000,0.000000,23.417358,4.174805,0.000000,1.000000,0.000000
68.00000,0.000000,23.342590,4.174805,0.000000,1.000000,0.000000
72.00000,0.000000,23.432312,4.174805,0.000000,1.000000,0.000000
76.00000,0.000000,23.432312,4.174805,0.000000,1.000000,0.000000
80.00000,0.000000,23.477173,4.174805,0.000000,1.000000,0.000000
84.00000,0.000000,23.417358,4.174805,0.000000,1.000000,0.000000
88.00000,0.000000,23.447266,4.174805,0.000000,1.000000,0.000000
92.00000,0.000000,23.387451,4.174805,0.000000,1.000000,0.000000
96.00000,0.000000,23.507080,4.174805,0.000000,1.000000,0.000000
100.00000,0.000000,23.432312,4.174805,0.000000,1.000000,0.000000
104.00000,0.000000,23.402405,4.174805,0.000000,1.000000,0.000000
108.00000,0.000000,23.462219,4.174805,0.000000,1.000000,0.000000
112.00000,0.000000,23.327637,4.174805,0.000000,1.000000,0.000000
116.00000,-0.219727,23.282776,4.174805,0.000000,1.000000,0.000000
120.00000,-0.219727,22.983704,3.955078,0.000000,1.000000,0.000000
124.00000,-0.219727,22.370605,3.955078,0.000000,1.000000,0.000000
128.00000,-0.219727,21.518250,3.735352,0.000000,1.000000,0.000000
132.00000,-0.219727,19.948120,3.295898,0.000000,1.000000,0.000000
136.00000,-0.219727,17.555542,2.636719,0.000000,1.000000,0.000000
140.00000,-0.439453,14.176025,1.757813,0.000000,1.000000,0.000000
144.00000,-0.659180,9.211426,0.659180,0.000000,1.000000,0.000000
148.00000,-0.878906,3.200073,-0.878906,0.000000,1.000000,0.000000
152.00000,-1.318359,-2.886047,-2.856445,0.000000,1.000000,0.000000
156.00000,-1.977539,-10.542297,-5.053711,0.000000,1.000000,0.000000
160.00000,-3.295898,-16.434021,-7.470703,0.000000,1.000000,0.000000
164.00000,-4.833984,-21.323853,-9.887695,0.000000,1.000000,0.000000
168.00000,-6.811523,-25.765076,-12.524414,0.000000,1.000000,0.000000
172.00000,-8.789063,-29.473572,-15.380859,0.000000,1.000000,0.000000
176.00000,-10.986328,-33.047485,-18.237305,0.000000,1.000000,0.000000
180.00000,-13.403320,-36.307373,-21.313477,0.000000,1.000000,0.000000
184.00000,-16.040039,-39.163513,-24.609375,0.000000,1.000000,0.000000
188.00000,-19.116211,-40.928040,-27.905273,0.000000,1.000000,0.000000
192.00000,-22.192383,-42.617798,-31.420898,0.000000,1.000000,0.000000
196.00000,-25.488281,-43.843994,-34.936523,0.000000,1.000000,0.000000
200.00000,-28.784180,-45.294495,-38.671875,0.000000,1.000000,0.000000
204.00000,-32.519531,-46.401062,-42.626953,0.000000,1.000000,0.000000
208.00000,-36.474609,-46.939392,-46.801758,0.000000,1.000000,0.000000
212.00000,-40.429688,-47.253418,-50.976563,0.000000,1.000000,0.000000
216.00000,-44.824219,-47.971191,-55.371094,0.000000,1.000000,0.000000
220.00000,-49.218750,-48.733826,-59.985352,0.000000,1.000000,0.000000
224.00000,-53.613281,-49.960022,-64.819336,0.000000,1.000000,0.000000
228.00000,-58.447266,-51.231079,-69.873047,0.000000,1.000000,0.000000
232.00000,-63.500977,-51.679688,-75.146484,0.000000,1.000000,0.000000
236.00000,-68.334961,-54.161987,-80.639648,0.000000,1.000000,0.000000
240.00000,-73.828125,-54.670410,-86.132813,0.000000,1.000000,0.000000
244.00000,-79.101563,-56.091003,-91.625977,0.000000,1.000000,0.000000
248.00000,-84.375000,-56.913452,-97.338867,0.000000,1.000000,0.000000
